trial,N_bar,w_b,a,noise_stdev,auc_ho,auc_lg,auc_gabor,time_taken
1,15,3,3,1,0.909114,0.909928,0.662394,105.28546166419983
2,15,3,3,2,0.872276,0.907826,0.6417889999999999,109.8712067604065
3,15,3,3,3,0.8293759999999999,0.8859790000000001,0.659558,103.51904845237732
4,15,3,10,1,0.64388,0.703388,0.537002,107.97554326057434
5,15,3,10,2,0.614171,0.720497,0.560108,106.60510993003845
6,15,3,10,3,0.605308,0.686307,0.549461,107.54730129241943
7,15,10,3,1,0.999997,0.9992989999999999,0.5647739999999999,110.92563939094543
8,15,10,3,2,0.9903029999999999,0.9903190000000001,0.56593,154.52098631858826
9,15,10,3,3,0.9427369999999999,0.957574,0.5699639999999999,104.68784546852112
10,15,10,10,1,0.999985,0.857642,0.498639,119.22829627990723
11,15,10,10,2,0.9808490000000001,0.8634890000000001,0.49845700000000004,105.30719470977783
12,15,10,10,3,0.9105599999999998,0.8355449999999999,0.5214810000000001,107.5227541923523
13,100,3,3,1,0.6776519999999999,0.705913,0.564021,394.4699475765228
14,100,3,3,2,0.670783,0.696688,0.542254,435.85881900787354
15,100,3,3,3,0.6280519999999999,0.705299,0.5795539999999999,384.1998085975647
16,100,3,10,1,0.532146,0.559242,0.512251,392.12701535224915
17,100,3,10,2,0.533549,0.564028,0.53852,416.5873830318451
18,100,3,10,3,0.551497,0.571509,0.5124310000000001,385.884699344635
19,100,10,3,1,0.999968,0.9243619999999999,0.5224219999999999,393.6625883579254
20,100,10,3,2,0.984072,0.898906,0.518406,391.70117831230164
21,100,10,3,3,0.921591,0.869456,0.5189579999999999,410.63483214378357
22,100,10,10,1,0.999571,0.6503119999999999,0.499216,411.30843138694763
23,100,10,10,2,0.968015,0.6735059999999999,0.501375,441.9238157272339
24,100,10,10,3,0.9067629999999999,0.654839,0.47920000000000007,404.48419284820557
